Game,Console,Name,Publisher,Developer,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,rating,ratings_count,metacritic,genres,platforms
PS3_Grand Theft Auto V,PS3,Grand Theft Auto V,Rockstar Games,Rockstar North,0,20320000,6370000,9850000,990000,3120000,2013-09-17,,4,7225,92,Action,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Xbox 360, PlayStation 3"
PS4_Grand Theft Auto V,PS4,Grand Theft Auto V,Rockstar Games,Rockstar North,0,19390000,6060000,9710000,600000,3020000,2014-11-18,2018-01-03,4,7225,92,Action,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Xbox 360, PlayStation 3"
PS4_Call of Duty: Black Ops 3,PS4,Call of Duty: Black Ops 3,Activision,Treyarch,0,15090000,6180000,6050000,410000,2440000,2015-11-06,2018-01-14,2,269,73,,
PS4_Red Dead Redemption 2,PS4,Red Dead Redemption 2,Rockstar Games,Rockstar Games,0,13940000,5260000,6210000,210000,2260000,2018-10-26,2018-11-02,4,5357,96,Action,"PC, Xbox One, PlayStation 4"
PS3_Call of Duty: Black Ops II,PS3,Call of Duty: Black Ops II,Activision,Treyarch,0,13800000,4990000,5880000,650000,2280000,2012-11-13,,3,1417,74,"Shooter, Action","PC, Xbox One, Xbox 360, PlayStation 3, Wii U"
PS4_Call of Duty: WWII,PS4,Call of Duty: WWII,Activision,Sledgehammer Games,0,13400000,4670000,6210000,400000,2120000,2017-11-03,2017-12-31,3,1171,77,"Shooter, Action","PC, Xbox One, PlayStation 4"
PS3_Call of Duty: Modern Warfare 3,PS3,Call of Duty: Modern Warfare 3,Activision,Infinity Ward,0,13350000,5540000,5780000,490000,1540000,2011-11-08,,3,1627,85,"Shooter, Action","PC, Xbox One, iOS, macOS, Xbox 360, PlayStation 3, Wii"
PS3_Call of Duty: Black Ops,PS3,Call of Duty: Black Ops,Activision,Treyarch,0,12670000,6010000,4400000,480000,1780000,2010-11-09,,4,1846,81,"Shooter, Action","PC, Xbox One, iOS, Nintendo DS, macOS, Xbox 360, PlayStation 3, Wii"
PS4_FIFA 18,PS4,FIFA 18,EA Sports,EA Vancouver,0,11800000,1270000,8640000,150000,1730000,2017-09-29,2018-04-02,3,700,79,Sports,"PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360"
PS4_FIFA 17,PS4,FIFA 17,Electronic Arts,EA Canada,0,10940000,1260000,7950000,120000,1610000,2016-09-27,2018-03-28,3,588,85,Sports,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
PS3_Call of Duty: Modern Warfare 2,PS3,Call of Duty: Modern Warfare 2,Activision,Infinity Ward,0,10610000,4990000,3660000,380000,1590000,2009-11-10,,4,2049,86,Shooter,"PC, Xbox One, macOS, Xbox 360, PlayStation 3"
PS3_Grand Theft Auto IV,PS3,Grand Theft Auto IV,Rockstar Games,Rockstar North,0,10570000,4790000,3730000,440000,1620000,2008-04-29,,4,3068,95,Action,"PC, Xbox One, Xbox 360, PlayStation 3"
PS4_Uncharted 4: A Thief's End,PS4,Uncharted 4: A Thief's End,Sony Interactive Entertainment,Naughty Dog,18650000,10330000,4490000,3930000,210000,1700000,2016-05-10,2018-09-23,2,269,73,,
PS3_Call of Duty: Ghosts,PS3,Call of Duty: Ghosts,Activision,Infinity Ward,0,10130000,4110000,4010000,390000,1620000,2013-11-05,,3,842,68,"Shooter, Action","PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3, Wii U"
PS4_Call of Duty: Black Ops IIII,PS4,Call of Duty: Black Ops IIII,Activision,Treyarch,0,9320000,4050000,3280000,500000,1490000,2018-10-12,2018-11-07,2,269,73,,
PS4_FIFA 19,PS4,FIFA 19,Electronic Arts,EA Sports,0,9150000,840000,6870000,100000,1340000,2018-09-28,2018-09-12,3,650,80,"Simulation, Sports","PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3"
PS4_Marvel's Spider-Man,PS4,Marvel's Spider-Man,Sony Interactive Entertainment,Insomniac Games,22690000,8760000,3640000,3390000,320000,1410000,2018-09-07,2018-09-26,4,3652,87,Action,"PC, PlayStation 5, PlayStation 4"
PS4_Call of Duty: Infinite Warfare,PS4,Call of Duty: Infinite Warfare,Activision,Infinity Ward,0,8480000,3110000,3830000,190000,1360000,2016-11-04,2018-01-14,3,627,73,"Shooter, Action","PC, Xbox One, PlayStation 4"
PS4_Fallout 4,PS4,Fallout 4,Bethesda Softworks,Bethesda Game Studios,0,8480000,2910000,3970000,270000,1340000,2015-11-10,2018-03-24,3,3385,84,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4"
PS4_FIFA 16,PS4,FIFA 16,EA Sports,EA Canada,0,8220000,1150000,5770000,70000,1230000,2015-09-22,2018-04-01,2,269,73,,
PS4_Star Wars Battlefront (2015),PS4,Star Wars Battlefront (2015),Electronic Arts,EA DICE,0,8029999,3310000,3190000,230000,1300000,2015-11-17,2018-03-24,2,269,73,,
PS3_FIFA 13,PS3,FIFA 13,EA Sports,EA Canada,0,8010000,1070000,5130000,130000,1680000,2012-09-25,,3,166,78,Sports,"PC, iOS, Xbox 360, PlayStation 3, PlayStation 2, Wii U"
